Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,15-11-2023,,,,,,,,
Gegevens beschikbaar:,28-05-1986,tot:,31-12-2019,,,,,,,,
Datum: ,15-11-2023,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B39D0221,003,39DP0221,0,1000,449,25-03-1986,25-03-1986,01-03-1998,506,57,-5068,-5558
B39D0221,003,39DP0221,0,1000,449,25-03-1986,01-03-1998,13-04-2015,510,61,-5068,-5558
B39D0221,003,39DP0221,0,1000,449,25-03-1986,13-04-2015,31-12-2019,456,7,-5068,-5558


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B39D0221,003,28-05-1986,159,102,347,,,,,,
B39D0221,003,16-06-1986,133,76,373,,,,,,
B39D0221,003,30-06-1986,158,101,348,,,,,,
B39D0221,003,14-07-1986,175,118,331,,,,,,
B39D0221,003,28-07-1986,183,126,323,,,,,,
B39D0221,003,14-08-1986,204,147,302,,,,,,
B39D0221,003,28-08-1986,197,140,309,,,,,,
B39D0221,003,15-09-1986,210,153,296,,,,,,
B39D0221,003,29-09-1986,200,143,306,,,,,,
B39D0221,003,14-10-1986,240,183,266,,,,,,
B39D0221,003,28-10-1986,180,123,326,,,,,,
B39D0221,003,14-11-1986,200,143,306,,,,,,
B39D0221,003,28-11-1986,200,143,306,,,,,,
B39D0221,003,15-12-1986,218,161,288,,,,,,
B39D0221,003,29-12-1986,172,115,334,,,,,,
B39D0221,003,14-01-1987,138,81,368,,,,,,
B39D0221,003,28-01-1987,195,138,311,,,,,,
B39D0221,003,13-02-1987,195,138,311,,,,,,
B39D0221,003,27-02-1987,198,141,308,,,,,,
B39D0221,003,13-03-1987,150,93,356,,,,,,
B39D0221,003,27-03-1987,151,94,355,,,,,,
B39D0221,003,14-04-1987,164,107,342,,,,,,
B39D0221,003,28-04-1987,172,115,334,,,,,,
B39D0221,003,14-05-1987,163,106,343,,,,,,
B39D0221,003,27-05-1987,161,104,345,,,,,,
B39D0221,003,15-06-1987,145,88,361,,,,,,
B39D0221,003,29-06-1987,110,53,396,,,,,,
B39D0221,003,14-07-1987,142,85,364,,,,,,
B39D0221,003,28-07-1987,149,92,357,,,,,,
B39D0221,003,14-08-1987,149,92,357,,,,,,
B39D0221,003,28-08-1987,170,113,336,,,,,,
B39D0221,003,14-09-1987,172,115,334,,,,,,
B39D0221,003,28-09-1987,190,133,316,,,,,,
B39D0221,003,14-10-1987,188,131,318,,,,,,
B39D0221,003,29-10-1987,190,133,316,,,,,,
B39D0221,003,13-11-1987,210,153,296,,,,,,
B39D0221,003,27-11-1987,156,99,350,,,,,,
B39D0221,003,14-12-1987,198,141,308,,,,,,
B39D0221,003,28-12-1987,155,98,351,,,,,,
B39D0221,003,14-01-1988,175,118,331,,,,,,
B39D0221,003,28-01-1988,155,98,351,,,,,,
B39D0221,003,15-02-1988,115,58,391,,,,,,
B39D0221,003,29-02-1988,158,101,348,,,,,,
B39D0221,003,14-03-1988,157,100,349,,,,,,
B39D0221,003,28-03-1988,95,38,411,,,,,,
B39D0221,003,14-04-1988,125,68,381,,,,,,
B39D0221,003,28-04-1988,147,90,359,,,,,,
B39D0221,003,16-05-1988,165,108,341,,,,,,
B39D0221,003,27-05-1988,163,106,343,,,,,,
B39D0221,003,14-06-1988,165,108,341,,,,,,
B39D0221,003,28-06-1988,182,125,324,,,,,,
B39D0221,003,14-07-1988,188,131,318,,,,,,
B39D0221,003,28-07-1988,189,132,317,,,,,,
B39D0221,003,15-08-1988,199,142,307,,,,,,
B39D0221,003,29-08-1988,205,148,301,,,,,,
B39D0221,003,14-09-1988,204,147,302,,,,,,
B39D0221,003,28-09-1988,200,143,306,,,,,,
B39D0221,003,14-10-1988,195,138,311,,,,,,
B39D0221,003,28-10-1988,197,140,309,,,,,,
B39D0221,003,14-11-1988,227,170,279,,,,,,
B39D0221,003,14-12-1988,154,97,352,,,,,,
B39D0221,003,27-12-1988,148,91,358,,,,,,
B39D0221,003,13-01-1989,185,128,321,,,,,,
B39D0221,003,27-01-1989,215,158,291,,,,,,
B39D0221,003,14-02-1989,239,182,267,,,,,,
B39D0221,003,28-02-1989,208,151,298,,,,,,
B39D0221,003,14-03-1989,185,128,321,,,,,,
B39D0221,003,28-03-1989,190,133,316,,,,,,
B39D0221,003,14-04-1989,170,113,336,,,,,,
B39D0221,003,28-04-1989,142,85,364,,,,,,
B39D0221,003,16-05-1989,180,123,326,,,,,,
B39D0221,003,29-05-1989,205,148,301,,,,,,
B39D0221,003,14-06-1989,200,143,306,,,,,,
B39D0221,003,28-06-1989,225,168,281,,,,,,
B39D0221,003,14-07-1989,215,158,291,,,,,,
B39D0221,003,28-07-1989,220,163,286,,,,,,
