Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,15-11-2023,,,,,,,,
Gegevens beschikbaar:,10-06-2013,tot:,18-12-2020,,,,,,,,
Datum: ,15-11-2023,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B39D2737,001,,157642,433072,514,10-06-2013,10-06-2013,18-12-2020,509,-6,-334,-434


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B39D2737,001,17-09-2013,180,186,329,,,,,,
B39D2737,001,18-09-2013,178,184,331,,,,,,
B39D2737,001,19-09-2013,176,182,333,,,,,,
B39D2737,001,20-09-2013,176,182,333,,,,,,
B39D2737,001,21-09-2013,173,179,336,,,,,,
B39D2737,001,22-09-2013,169,175,340,,,,,,
B39D2737,001,23-09-2013,163,169,346,,,,,,
B39D2737,001,24-09-2013,158,164,351,,,,,,
B39D2737,001,25-09-2013,158,164,351,,,,,,
B39D2737,001,26-09-2013,159,165,350,,,,,,
B39D2737,001,27-09-2013,159,165,350,,,,,,
B39D2737,001,28-09-2013,160,166,349,,,,,,
B39D2737,001,29-09-2013,162,168,347,,,,,,
B39D2737,001,30-09-2013,164,170,345,,,,,,
B39D2737,001,01-10-2013,167,173,342,,,,,,
B39D2737,001,02-10-2013,169,175,340,,,,,,
B39D2737,001,03-10-2013,171,177,338,,,,,,
B39D2737,001,04-10-2013,174,180,335,,,,,,
B39D2737,001,05-10-2013,176,182,333,,,,,,
B39D2737,001,06-10-2013,178,184,331,,,,,,
B39D2737,001,07-10-2013,180,186,329,,,,,,
B39D2737,001,08-10-2013,181,187,328,,,,,,
B39D2737,001,09-10-2013,178,184,331,,,,,,
B39D2737,001,10-10-2013,175,181,334,,,,,,
B39D2737,001,11-10-2013,173,179,336,,,,,,
B39D2737,001,12-10-2013,172,178,337,,,,,,
B39D2737,001,13-10-2013,166,172,343,,,,,,
B39D2737,001,14-10-2013,162,168,347,,,,,,
B39D2737,001,15-10-2013,160,166,349,,,,,,
B39D2737,001,16-10-2013,157,163,352,,,,,,
B39D2737,001,17-10-2013,157,163,352,,,,,,
B39D2737,001,18-10-2013,154,160,355,,,,,,
B39D2737,001,19-10-2013,151,157,358,,,,,,
B39D2737,001,20-10-2013,145,151,364,,,,,,
B39D2737,001,21-10-2013,140,146,369,,,,,,
B39D2737,001,22-10-2013,137,143,372,,,,,,
