Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,15-11-2023,,,,,,,,
Gegevens beschikbaar:,28-05-1986,tot:,31-12-2019,,,,,,,,
Datum: ,15-11-2023,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B39D0221,001,39DP0221,156292,432916,449,25-03-1986,25-03-1986,01-03-1998,511,62,-164,-356
B39D0221,001,39DP0221,156292,432916,449,25-03-1986,01-03-1998,13-04-2015,516,67,-164,-356
B39D0221,001,39DP0221,156292,432916,449,25-03-1986,13-04-2015,31-12-2019,464,15,-164,-356


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B39D0221,001,14-06-1990,202,140,309,,,,,,
B39D0221,001,28-06-1990,197,135,314,,,,,,
B39D0221,001,13-07-1990,190,128,321,,,,,,
B39D0221,001,27-07-1990,203,141,308,,,,,,
B39D0221,001,14-08-1990,228,166,283,,,,,,
B39D0221,001,28-08-1990,230,168,281,,,,,,
B39D0221,001,14-09-1990,230,168,281,,,,,,
B39D0221,001,28-09-1990,235,173,276,,,,,,
B39D0221,001,15-10-1990,230,168,281,,,,,,
B39D0221,001,29-10-1990,235,173,276,,,,,,
B39D0221,001,14-11-1990,213,151,298,,,,,,
B39D0221,001,28-11-1990,185,123,326,,,,,,
B39D0221,001,14-12-1990,209,147,302,,,,,,
B39D0221,001,28-12-1990,208,146,303,,,,,,
B39D0221,001,14-01-1991,161,99,350,,,,,,
B39D0221,001,28-01-1991,197,135,314,,,,,,
B39D0221,001,14-02-1991,230,168,281,,,,,,
B39D0221,001,28-02-1991,230,168,281,,,,,,
B39D0221,001,14-03-1991,230,168,281,,,,,,
B39D0221,001,28-03-1991,215,153,296,,,,,,
B39D0221,001,15-04-1991,220,158,291,,,,,,
B39D0221,001,29-04-1991,222,160,289,,,,,,
B39D0221,001,14-05-1991,215,153,296,,,,,,
B39D0221,001,28-05-1991,209,147,302,,,,,,
B39D0221,001,14-06-1991,211,149,300,,,,,,
B39D0221,001,28-06-1991,189,127,322,,,,,,
B39D0221,001,15-07-1991,195,133,316,,,,,,
B39D0221,001,29-07-1991,200,138,311,,,,,,
B39D0221,001,14-08-1991,215,153,296,,,,,,
B39D0221,001,28-08-1991,230,168,281,,,,,,
B39D0221,001,13-09-1991,240,178,271,,,,,,
B39D0221,001,27-09-1991,245,183,266,,,,,,
B39D0221,001,14-10-1991,232,170,279,,,,,,
B39D0221,001,28-10-1991,240,178,271,,,,,,
B39D0221,001,14-11-1991,211,149,300,,,,,,
B39D0221,001,28-11-1991,210,148,301,,,,,,
B39D0221,001,12-12-1991,242,180,269,,,,,,
B39D0221,001,30-12-1991,181,119,330,,,,,,
B39D0221,001,14-01-1992,213,151,298,,,,,,
B39D0221,001,28-01-1992,230,168,281,,,,,,
B39D0221,001,14-02-1992,233,171,278,,,,,,
B39D0221,001,28-02-1992,228,166,283,,,,,,
B39D0221,001,13-03-1992,227,165,284,,,,,,
B39D0221,001,27-03-1992,178,116,333,,,,,,
B39D0221,001,14-04-1992,180,118,331,,,,,,
B39D0221,001,28-04-1992,180,118,331,,,,,,
B39D0221,001,14-05-1992,181,119,330,,,,,,
B39D0221,001,27-05-1992,191,129,320,,,,,,
B39D0221,001,15-06-1992,180,118,331,,,,,,
B39D0221,001,29-06-1992,192,130,319,,,,,,
B39D0221,001,14-07-1992,193,131,318,,,,,,
B39D0221,001,28-07-1992,198,136,313,,,,,,
B39D0221,001,14-08-1992,202,140,309,,,,,,
B39D0221,001,28-08-1992,215,153,296,,,,,,
B39D0221,001,14-09-1992,200,138,311,,,,,,
B39D0221,001,28-09-1992,224,162,287,,,,,,
B39D0221,001,13-10-1992,237,175,274,,,,,,
B39D0221,001,29-10-1992,212,150,299,,,,,,
B39D0221,001,13-11-1992,204,142,307,,,,,,
B39D0221,001,27-11-1992,179,117,332,,,,,,
B39D0221,001,14-12-1992,180,118,331,,,,,,
B39D0221,001,28-12-1992,197,135,314,,,,,,
B39D0221,001,14-01-1993,185,123,326,,,,,,
B39D0221,001,29-01-1993,189,127,322,,,,,,
B39D0221,001,15-02-1993,212,150,299,,,,,,
B39D0221,001,01-03-1993,215,153,296,,,,,,
B39D0221,001,15-03-1993,226,164,285,,,,,,
B39D0221,001,29-03-1993,226,164,285,,,,,,
B39D0221,001,15-04-1993,222,160,289,,,,,,
B39D0221,001,28-04-1993,228,166,283,,,,,,
B39D0221,001,14-05-1993,222,160,289,,,,,,
B39D0221,001,28-05-1993,227,165,284,,,,,,
B39D0221,001,15-06-1993,225,163,286,,,,,,
B39D0221,001,28-06-1993,221,159,290,,,,,,
B39D0221,001,14-07-1993,223,161,288,,,,,,
B39D0221,001,27-07-1993,185,123,326,,,,,,
B39D0221,001,13-08-1993,190,128,321,,,,,,
B39D0221,001,27-08-1993,193,131,318,,,,,,
B39D0221,001,14-09-1993,193,131,318,,,,,,
B39D0221,001,28-09-1993,187,125,324,,,,,,
B39D0221,001,14-10-1993,175,113,336,,,,,,
B39D0221,001,28-10-1993,181,119,330,,,,,,
B39D0221,001,15-11-1993,170,108,341,,,,,,
B39D0221,001,29-11-1993,198,136,313,,,,,,
B39D0221,001,16-12-1993,179,117,332,,,,,,
B39D0221,001,28-12-1993,199,137,312,,,,,,
B39D0221,001,14-01-1994,195,133,316,,,,,,
B39D0221,001,28-01-1994,198,136,313,,,,,,
B39D0221,001,14-02-1994,220,158,291,,,,,,
B39D0221,001,28-02-1994,231,169,280,,,,,,
B39D0221,001,14-03-1994,228,166,283,,,,,,
B39D0221,001,28-03-1994,208,146,303,,,,,,
B39D0221,001,14-04-1994,205,143,306,,,,,,
B39D0221,001,28-04-1994,165,103,346,,,,,,
B39D0221,001,16-05-1994,171,109,340,,,,,,
B39D0221,001,27-05-1994,171,109,340,,,,,,
B39D0221,001,14-06-1994,170,108,341,,,,,,
B39D0221,001,28-06-1994,182,120,329,,,,,,
B39D0221,001,14-07-1994,190,128,321,,,,,,
B39D0221,001,28-07-1994,198,136,313,,,,,,
B39D0221,001,15-08-1994,207,145,304,,,,,,
B39D0221,001,29-08-1994,214,152,297,,,,,,
B39D0221,001,14-09-1994,190,128,321,,,,,,
B39D0221,001,29-09-1994,190,128,321,,,,,,
B39D0221,001,14-10-1994,187,125,324,,,,,,
B39D0221,001,28-10-1994,169,107,342,,,,,,
B39D0221,001,14-11-1994,200,138,311,,,,,,
B39D0221,001,28-11-1994,210,148,301,,,,,,
B39D0221,001,14-12-1994,198,136,313,,,,,,
B39D0221,001,28-12-1994,175,113,336,,,,,,
B39D0221,001,13-01-1995,197,135,314,,,,,,
B39D0221,001,15-02-1995,151,89,360,,,,,,
B39D0221,001,28-02-1995,162,100,349,,,,,,
B39D0221,001,14-03-1995,172,110,339,,,,,,
B39D0221,001,28-03-1995,170,108,341,,,,,,
B39D0221,001,14-04-1995,172,110,339,,,,,,
B39D0221,001,28-04-1995,175,113,336,,,,,,
B39D0221,001,15-05-1995,185,123,326,,,,,,
B39D0221,001,29-05-1995,170,108,341,,,,,,
B39D0221,001,15-06-1995,165,103,346,,,,,,
B39D0221,001,28-06-1995,174,112,337,,,,,,
B39D0221,001,13-07-1995,185,123,326,,,,,,
B39D0221,001,28-07-1995,194,132,317,,,,,,
B39D0221,001,14-08-1995,210,148,301,,,,,,
B39D0221,001,28-08-1995,208,146,303,,,,,,
B39D0221,001,15-09-1995,212,150,299,,,,,,
B39D0221,001,28-09-1995,204,142,307,,,,,,
B39D0221,001,13-10-1995,203,141,308,,,,,,
B39D0221,001,27-10-1995,211,149,300,,,,,,
B39D0221,001,16-11-1995,200,138,311,,,,,,
B39D0221,001,28-11-1995,219,157,292,,,,,,
B39D0221,001,14-12-1995,231,169,280,,,,,,
B39D0221,001,27-12-1995,234,172,277,,,,,,
B39D0221,001,16-01-1996,215,153,296,,,,,,
B39D0221,001,29-01-1996,223,161,288,,,,,,
B39D0221,001,14-02-1996,240,178,271,,,,,,
B39D0221,001,28-02-1996,213,151,298,,,,,,
B39D0221,001,13-03-1996,225,163,286,,,,,,
B39D0221,001,28-03-1996,230,168,281,,,,,,
B39D0221,001,15-04-1996,226,164,285,,,,,,
B39D0221,001,26-04-1996,222,160,289,,,,,,
