Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2023/11/05 19:11:14
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
HBpb003-1,001,HBpb003-1,169967.06,433090.67,730,,792,471,394,294,2021/09/23,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
HBpb003-1,001,2021/09/28 06:58:00,479,
HBpb003-1,001,2021/09/28 07:58:00,479,
HBpb003-1,001,2021/09/28 08:58:00,479,
HBpb003-1,001,2021/09/28 09:58:00,479,
HBpb003-1,001,2021/09/28 10:58:00,479,
HBpb003-1,001,2021/09/28 11:58:00,479,
HBpb003-1,001,2021/09/28 12:58:00,479,
HBpb003-1,001,2021/09/28 13:58:00,479,
HBpb003-1,001,2021/09/28 14:58:00,479,
HBpb003-1,001,2021/09/28 15:58:00,479,
HBpb003-1,001,2021/09/28 16:58:00,479,
HBpb003-1,001,2021/09/28 17:58:00,479,
HBpb003-1,001,2021/09/28 18:58:00,479,
HBpb003-1,001,2021/09/28 19:58:00,479,
HBpb003-1,001,2021/09/28 20:58:00,479,
HBpb003-1,001,2021/09/28 21:58:00,479,
HBpb003-1,001,2021/09/28 22:58:00,478,
HBpb003-1,001,2021/09/28 23:58:00,478,
HBpb003-1,001,2021/09/29 00:58:00,479,
HBpb003-1,001,2021/09/29 01:58:00,479,
HBpb003-1,001,2021/09/29 02:58:00,479,
HBpb003-1,001,2021/09/29 03:58:00,479,
HBpb003-1,001,2021/09/29 04:58:00,479,
HBpb003-1,001,2021/09/29 05:58:00,479,
HBpb003-1,001,2021/09/29 06:58:00,479,
HBpb003-1,001,2021/09/29 07:58:00,479,
HBpb003-1,001,2021/09/29 08:58:00,479,
HBpb003-1,001,2021/09/29 09:58:00,478,
HBpb003-1,001,2021/09/29 10:58:00,478,
HBpb003-1,001,2021/09/29 11:58:00,478,
HBpb003-1,001,2021/09/29 12:58:00,478,
HBpb003-1,001,2021/09/29 13:58:00,478,
HBpb003-1,001,2021/09/29 14:58:00,478,
HBpb003-1,001,2021/09/29 15:58:00,478,
HBpb003-1,001,2021/09/29 16:58:00,478,
HBpb003-1,001,2021/09/29 17:58:00,478,
HBpb003-1,001,2021/09/29 18:58:00,477,
HBpb003-1,001,2021/09/29 19:58:00,477,
HBpb003-1,001,2021/09/29 20:58:00,477,
HBpb003-1,001,2021/09/29 21:58:00,477,
HBpb003-1,001,2021/09/29 22:58:00,477,
HBpb003-1,001,2021/09/29 23:58:00,477,
HBpb003-1,001,2021/09/30 00:58:00,477,
