Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,25-10-2023,,,,,,,,
Gegevens beschikbaar:,14-06-1950,tot:,28-08-2000,,,,,,,,
Datum: ,25-10-2023,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B39G0027,001,39GB0027,169990,433280,817,04-01-1946,04-01-1946,14-10-1969,817,0,67,-1483
B39G0027,001,39GB0027,169990,433280,817,04-01-1946,14-10-1969,14-09-2000,831,14,67,-1483


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B39G0027,001,15-10-1962,265,265,552,,,,,,
B39G0027,001,14-12-1962,253,253,564,,,,,,
B39G0027,001,29-04-1963,234,234,583,,,,,,
B39G0027,001,28-08-1963,217,217,600,,,,,,
B39G0027,001,14-10-1963,195,195,622,,,,,,
B39G0027,001,13-12-1963,214,214,603,,,,,,
B39G0027,001,28-04-1964,268,268,549,,,,,,
B39G0027,001,28-08-1964,272,272,545,,,,,,
B39G0027,001,14-10-1964,290,290,527,,,,,,
B39G0027,001,14-12-1964,235,235,582,,,,,,
B39G0027,001,28-04-1965,165,165,652,,,,,,
B39G0027,001,27-08-1965,267,267,550,,,,,,
B39G0027,001,14-10-1965,274,274,543,,,,,,
B39G0027,001,14-12-1965,105,105,712,,,,,,
B39G0027,001,28-04-1966,275,275,542,,,,,,
B39G0027,001,29-08-1966,238,238,579,,,,,,
B39G0027,001,14-10-1966,385,385,432,,,,,,
B39G0027,001,14-12-1966,90,90,727,,,,,,
B39G0027,001,28-04-1967,210,210,607,,,,,,
B39G0027,001,28-08-1967,212,212,605,,,,,,
B39G0027,001,13-10-1967,222,222,595,,,,,,
B39G0027,001,14-12-1967,143,143,674,,,,,,
B39G0027,001,29-04-1968,203,203,614,,,,,,
B39G0027,001,28-08-1968,179,179,638,,,,,,
B39G0027,001,14-10-1968,115,115,702,,,,,,
B39G0027,001,13-12-1968,274,274,543,,,,,,
B39G0027,001,28-04-1969,138,138,679,,,,,,
B39G0027,001,28-08-1969,198,198,619,,,,,,
B39G0027,001,14-10-1969,262,248,569,,,,,,
B39G0027,001,15-12-1969,286,272,545,,,,,,
B39G0027,001,28-04-1970,146,132,685,,,,,,
B39G0027,001,28-08-1970,182,168,649,,,,,,
B39G0027,001,14-10-1970,205,191,626,,,,,,
B39G0027,001,14-12-1970,191,177,640,,,,,,
B39G0027,001,28-04-1971,257,243,574,,,,,,
B39G0027,001,27-08-1971,259,245,572,,,,,,
B39G0027,001,14-10-1971,291,277,540,,,,,,
B39G0027,001,28-04-1972,233,219,598,,,,,,
B39G0027,001,28-08-1972,232,218,599,,,,,,
B39G0027,001,13-10-1972,293,279,538,,,,,,
B39G0027,001,14-12-1972,205,191,626,,,,,,
B39G0027,001,27-04-1973,259,245,572,,,,,,
B39G0027,001,28-08-1973,265,251,566,,,,,,
B39G0027,001,15-10-1973,299,285,532,,,,,,
B39G0027,001,14-12-1973,184,170,647,,,,,,
B39G0027,001,29-04-1974,244,230,587,,,,,,
B39G0027,001,28-08-1974,253,239,578,,,,,,
B39G0027,001,14-10-1974,236,222,595,,,,,,
B39G0027,001,13-12-1974,128,114,703,,,,,,
B39G0027,001,28-04-1975,170,156,661,,,,,,
B39G0027,001,28-08-1975,206,192,625,,,,,,
B39G0027,001,14-10-1975,237,223,594,,,,,,
B39G0027,001,15-12-1975,240,226,591,,,,,,
B39G0027,001,28-04-1976,284,270,547,,,,,,
B39G0027,001,27-08-1976,301,287,530,,,,,,
B39G0027,001,14-10-1976,288,274,543,,,,,,
