Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,25-10-2023,,,,,,,,
Gegevens beschikbaar:,14-06-1950,tot:,28-08-2000,,,,,,,,
Datum: ,25-10-2023,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B39H0045,001,39HB0045,170700,433690,760,16-01-1946,16-01-1946,28-08-1969,750,-10,10,-1615
B39H0045,001,39HB0045,170700,433690,760,16-01-1946,28-08-1969,14-09-2000,757,-3,10,-1615


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B39H0045,001,14-06-1950,252,262,498,,,,,,
B39H0045,001,28-06-1950,257,267,493,,,,,,
B39H0045,001,14-07-1950,273,283,477,,,,,,
B39H0045,001,28-07-1950,238,248,512,,,,,,
B39H0045,001,14-08-1950,304,314,446,,,,,,
B39H0045,001,28-08-1950,324,334,426,,,,,,
B39H0045,001,14-09-1950,238,248,512,,,,,,
B39H0045,001,28-09-1950,263,273,487,,,,,,
B39H0045,001,14-10-1950,295,305,455,,,,,,
B39H0045,001,28-10-1950,325,335,425,,,,,,
B39H0045,001,14-11-1950,289,299,461,,,,,,
B39H0045,001,28-11-1950,107,117,643,,,,,,
B39H0045,001,14-12-1950,91,101,659,,,,,,
B39H0045,001,28-12-1950,194,204,556,,,,,,
B39H0045,001,15-01-1951,128,138,622,,,,,,
B39H0045,001,29-01-1951,54,64,696,,,,,,
B39H0045,001,14-02-1951,190,200,560,,,,,,
B39H0045,001,28-02-1951,131,141,619,,,,,,
B39H0045,001,14-03-1951,208,218,542,,,,,,
B39H0045,001,28-03-1951,115,125,635,,,,,,
B39H0045,001,14-04-1951,116,126,634,,,,,,
B39H0045,001,28-04-1951,195,205,555,,,,,,
B39H0045,001,15-05-1951,212,222,538,,,,,,
B39H0045,001,28-05-1951,218,228,532,,,,,,
B39H0045,001,14-06-1951,200,210,550,,,,,,
B39H0045,001,28-06-1951,175,185,575,,,,,,
B39H0045,001,14-07-1951,202,212,548,,,,,,
B39H0045,001,28-07-1951,193,203,557,,,,,,
B39H0045,001,14-08-1951,171,181,579,,,,,,
B39H0045,001,28-08-1951,234,244,516,,,,,,
B39H0045,001,14-09-1951,267,277,483,,,,,,
B39H0045,001,28-09-1951,292,302,458,,,,,,
B39H0045,001,15-10-1951,324,334,426,,,,,,
B39H0045,001,14-11-1951,337,347,413,,,,,,
B39H0045,001,28-11-1951,206,216,544,,,,,,
B39H0045,001,14-12-1951,201,211,549,,,,,,
B39H0045,001,28-12-1951,235,245,515,,,,,,
B39H0045,001,14-01-1952,124,134,626,,,,,,
B39H0045,001,28-01-1952,169,179,581,,,,,,
B39H0045,001,14-02-1952,167,177,583,,,,,,
B39H0045,001,28-02-1952,172,182,578,,,,,,
B39H0045,001,14-03-1952,143,153,607,,,,,,
B39H0045,001,28-03-1952,95,105,655,,,,,,
B39H0045,001,15-04-1952,100,110,650,,,,,,
B39H0045,001,28-04-1952,175,185,575,,,,,,
B39H0045,001,14-05-1952,208,218,542,,,,,,
B39H0045,001,28-05-1952,236,246,514,,,,,,
B39H0045,001,14-06-1952,252,262,498,,,,,,
B39H0045,001,28-06-1952,146,156,604,,,,,,
B39H0045,001,14-07-1952,227,237,523,,,,,,
B39H0045,001,28-07-1952,298,308,452,,,,,,
B39H0045,001,14-08-1952,334,344,416,,,,,,
B39H0045,001,28-08-1952,335,345,415,,,,,,
B39H0045,001,15-09-1952,343,353,407,,,,,,
B39H0045,001,29-09-1952,325,335,425,,,,,,
B39H0045,001,14-10-1952,292,302,458,,,,,,
B39H0045,001,28-10-1952,244,254,506,,,,,,
B39H0045,001,14-11-1952,59,69,691,,,,,,
B39H0045,001,28-11-1952,150,160,600,,,,,,
B39H0045,001,15-12-1952,102,112,648,,,,,,
B39H0045,001,29-12-1952,,,,O,,,,,
B39H0045,001,14-01-1953,176,186,574,,,,,,
B39H0045,001,28-01-1953,227,237,523,,,,,,
B39H0045,001,14-02-1953,187,197,563,,,,,,
B39H0045,001,28-02-1953,105,115,645,,,,,,
B39H0045,001,14-03-1953,207,217,543,,,,,,
B39H0045,001,28-03-1953,249,259,501,,,,,,
B39H0045,001,14-04-1953,240,250,510,,,,,,
B39H0045,001,28-04-1953,249,259,501,,,,,,
B39H0045,001,15-05-1953,278,288,472,,,,,,
B39H0045,001,28-05-1953,296,306,454,,,,,,
B39H0045,001,14-12-1953,392,402,358,,,,,,
B39H0045,001,28-04-1954,282,292,468,,,,,,
B39H0045,001,14-10-1954,127,137,623,,,,,,
B39H0045,001,28-04-1955,229,239,521,,,,,,
B39H0045,001,14-10-1955,300,310,450,,,,,,
B39H0045,001,28-04-1956,185,195,565,,,,,,
B39H0045,001,15-10-1956,168,178,582,,,,,,
B39H0045,001,29-04-1957,255,265,495,,,,,,
