Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-25/10/2023
Datum: 25/10/2023
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39H0045,001,39HB0045,170700,433690,760,,750,10,-1615,1946/01/16,1969/08/28
B39H0045,001,39HB0045,170700,433690,760,,757,10,-1615,1969/08/28,2000/09/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39H0045,001,1968/04/29 00:00:00,232,
B39H0045,001,1968/08/28 00:00:00,202,
B39H0045,001,1968/10/14 00:00:00,120,
B39H0045,001,1968/12/13 00:00:00,315,
B39H0045,001,1969/04/28 00:00:00,103,
B39H0045,001,1969/08/28 00:00:00,237,
B39H0045,001,1969/10/14 00:00:00,334,
B39H0045,001,1969/12/15 00:00:00,336,
B39H0045,001,1970/04/28 00:00:00,91,
B39H0045,001,1970/08/28 00:00:00,196,
B39H0045,001,1970/10/14 00:00:00,252,
B39H0045,001,1970/12/14 00:00:00,206,
B39H0045,001,1971/04/28 00:00:00,314,
B39H0045,001,1971/08/27 00:00:00,327,
B39H0045,001,1971/10/14 00:00:00,369,
B39H0045,001,1971/12/14 00:00:00,358,
B39H0045,001,1972/04/28 00:00:00,285,
B39H0045,001,1972/08/28 00:00:00,277,
B39H0045,001,1972/10/13 00:00:00,372,
B39H0045,001,1972/12/14 00:00:00,212,
B39H0045,001,1973/04/27 00:00:00,253,
B39H0045,001,1973/08/28 00:00:00,313,
B39H0045,001,1973/10/15 00:00:00,347,
B39H0045,001,1973/12/14 00:00:00,159,
B39H0045,001,1974/04/29 00:00:00,302,
B39H0045,001,1974/08/28 00:00:00,301,
B39H0045,001,1974/10/14 00:00:00,279,
B39H0045,001,1974/12/13 00:00:00,81,
B39H0045,001,1975/04/28 00:00:00,187,
B39H0045,001,1975/08/28 00:00:00,239,
B39H0045,001,1975/10/14 00:00:00,291,
B39H0045,001,1975/12/15 00:00:00,283,
B39H0045,001,1976/04/28 00:00:00,348,
B39H0045,001,1976/08/27 00:00:00,374,
B39H0045,001,1976/10/14 00:00:00,354,
B39H0045,001,1976/12/14 00:00:00,236,
B39H0045,001,1977/04/28 00:00:00,190,
B39H0045,001,1977/08/29 00:00:00,221,
B39H0045,001,1977/10/14 00:00:00,319,
B39H0045,001,1977/12/14 00:00:00,220,
B39H0045,001,1978/04/28 00:00:00,247,
B39H0045,001,1978/08/28 00:00:00,244,
B39H0045,001,1978/10/13 00:00:00,275,
B39H0045,001,1978/12/14 00:00:00,352,
B39H0045,001,1979/04/27 00:00:00,175,
B39H0045,001,1979/08/28 00:00:00,272,
B39H0045,001,1979/10/30 00:00:00,310,
B39H0045,001,1979/12/14 00:00:00,121,
B39H0045,001,1980/04/28 00:00:00,228,
B39H0045,001,1980/08/28 00:00:00,231,
B39H0045,001,1980/10/14 00:00:00,293,
B39H0045,001,1980/12/15 00:00:00,269,
B39H0045,001,1981/04/28 00:00:00,220,
B39H0045,001,1981/08/28 00:00:00,241,
B39H0045,001,1981/10/14 00:00:00,179,
B39H0045,001,1981/12/14 00:00:00,43,
B39H0045,001,1982/04/28 00:00:00,239,
B39H0045,001,1982/08/27 00:00:00,251,
B39H0045,001,1982/10/14 00:00:00,214,
B39H0045,001,1982/12/14 00:00:00,62,
B39H0045,001,1983/04/28 00:00:00,86,
B39H0045,001,1983/08/29 00:00:00,277,
B39H0045,001,1983/10/14 00:00:00,320,
B39H0045,001,1983/12/14 00:00:00,289,
B39H0045,001,1984/04/27 00:00:00,254,
B39H0045,001,1984/08/28 00:00:00,294,
B39H0045,001,1984/10/15 00:00:00,164,
B39H0045,001,1984/12/14 00:00:00,281,
B39H0045,001,1985/04/29 00:00:00,224,
B39H0045,001,1985/08/28 00:00:00,284,
B39H0045,001,1985/10/14 00:00:00,345,
B39H0045,001,1985/12/13 00:00:00,308,
B39H0045,001,1986/04/28 00:00:00,123,
B39H0045,001,1986/08/28 00:00:00,324,
B39H0045,001,1986/10/14 00:00:00,351,
B39H0045,001,1986/12/15 00:00:00,307,
B39H0045,001,1987/04/28 00:00:00,214,
B39H0045,001,1987/08/28 00:00:00,219,
B39H0045,001,1987/10/14 00:00:00,261,
B39H0045,001,1987/12/14 00:00:00,254,
B39H0045,001,1988/04/28 00:00:00,171,
B39H0045,001,1988/08/29 00:00:00,301,
B39H0045,001,1988/10/14 00:00:00,254,
B39H0045,001,1988/12/14 00:00:00,110,
B39H0045,001,1989/04/28 00:00:00,111,
B39H0045,001,1989/09/14 00:00:00,355,
B39H0045,001,1989/10/13 00:00:00,370,
B39H0045,001,1989/12/14 00:00:00,400,
B39H0045,001,1990/04/27 00:00:00,283,
B39H0045,001,1990/08/28 00:00:00,361,
B39H0045,001,1990/10/15 00:00:00,337,
B39H0045,001,1990/12/14 00:00:00,258,
B39H0045,001,1991/04/26 00:00:00,324,
B39H0045,001,1991/08/28 00:00:00,362,
B39H0045,001,1991/10/14 00:00:00,365,
B39H0045,001,1991/12/13 00:00:00,346,
B39H0045,001,1992/04/28 00:00:00,244,
