Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-25/10/2023
Datum: 25/10/2023
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39H0048,001,39HB0048,170300,433700,964,,964,-36,-1436,1945/12/01,2000/09/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39H0048,001,1955/07/14 00:00:00,356,
B39H0048,001,1955/07/28 00:00:00,340,
B39H0048,001,1955/08/16 00:00:00,343,
B39H0048,001,1955/08/29 00:00:00,339,
B39H0048,001,1955/09/14 00:00:00,412,
B39H0048,001,1955/09/28 00:00:00,426,
B39H0048,001,1955/10/14 00:00:00,453,
B39H0048,001,1955/10/28 00:00:00,458,
B39H0048,001,1955/11/14 00:00:00,494,
B39H0048,001,1955/11/28 00:00:00,518,
B39H0048,001,1955/12/14 00:00:00,507,
B39H0048,001,1955/12/28 00:00:00,220,
B39H0048,001,1956/01/14 00:00:00,353,
B39H0048,001,1956/01/28 00:00:00,310,
B39H0048,001,1956/02/14 00:00:00,365,
B39H0048,001,1956/02/28 00:00:00,345,
B39H0048,001,1956/03/14 00:00:00,280,
B39H0048,001,1956/03/28 00:00:00,390,
B39H0048,001,1956/04/14 00:00:00,415,
B39H0048,001,1956/04/28 00:00:00,340,
B39H0048,001,1956/05/14 00:00:00,415,
B39H0048,001,1956/05/28 00:00:00,405,
B39H0048,001,1956/06/14 00:00:00,337,
B39H0048,001,1956/06/28 00:00:00,355,
B39H0048,001,1956/07/14 00:00:00,357,
B39H0048,001,1956/07/28 00:00:00,285,
B39H0048,001,1956/08/14 00:00:00,339,
B39H0048,001,1956/08/28 00:00:00,340,
B39H0048,001,1956/09/14 00:00:00,322,
B39H0048,001,1956/09/28 00:00:00,359,
B39H0048,001,1956/10/15 00:00:00,327,
B39H0048,001,1956/10/29 00:00:00,376,
B39H0048,001,1956/11/14 00:00:00,359,
B39H0048,001,1956/11/28 00:00:00,404,
B39H0048,001,1956/12/14 00:00:00,321,
B39H0048,001,1956/12/28 00:00:00,341,
B39H0048,001,1957/01/14 00:00:00,356,
B39H0048,001,1957/01/28 00:00:00,424,
B39H0048,001,1957/02/14 00:00:00,328,
B39H0048,001,1957/02/28 00:00:00,243,
B39H0048,001,1957/03/14 00:00:00,290,
B39H0048,001,1957/03/28 00:00:00,305,
B39H0048,001,1957/04/15 00:00:00,365,
B39H0048,001,1957/04/29 00:00:00,417,
B39H0048,001,1957/05/14 00:00:00,435,
B39H0048,001,1957/05/28 00:00:00,444,
B39H0048,001,1957/06/14 00:00:00,456,
B39H0048,001,1957/06/28 00:00:00,402,
B39H0048,001,1957/07/15 00:00:00,421,
B39H0048,001,1957/07/29 00:00:00,389,
B39H0048,001,1957/08/14 00:00:00,411,
B39H0048,001,1957/08/28 00:00:00,381,
B39H0048,001,1957/09/14 00:00:00,396,
