well name,X,Y,screen top (m ref),screen bottom (m ref)
total_extracted_volumes_Nijverdal, 226683.50, 486366.85,  0.00,  0.00

date,volume (m3)
4-8-1990 12:00,623836.00
4-9-1990 12:00,460479.00
5-10-1990 12:00,433153.00
5-11-1990 12:00,518484.00
6-12-1990 12:00,419763.00
6-1-1991 12:00,513556.00
6-2-1991 12:00,402232.00
9-3-1991 12:00,511695.00
9-4-1991 12:00,433730.00
10-5-1991 12:00,459703.00
10-6-1991 12:00,551915.00
11-7-1991 12:00,425576.00
11-8-1991 12:00,590399.00
11-9-1991 12:00,484210.00
12-10-1991 12:00,505745.00
12-11-1991 12:00,395995.00
13-12-1991 12:00,398791.00
13-1-1992 12:00,482251.00
13-2-1992 12:00,400836.00
15-3-1992 12:00,524792.00
15-4-1992 12:00,435576.00
16-5-1992 12:00,610199.00
16-6-1992 12:00,513148.00
17-7-1992 12:00,490560.00
17-8-1992 12:00,564519.00
17-9-1992 12:00,424284.00
18-10-1992 12:00,529764.00
18-11-1992 12:00,406919.00
19-12-1992 12:00,396418.00
19-1-1993 12:00,400302.00
19-2-1993 12:00,414810.00
22-3-1993 12:00,544295.00
22-4-1993 12:00,447981.00
23-5-1993 12:00,565818.00
23-6-1993 12:00,477404.00
24-7-1993 12:00,508052.00
24-8-1993 12:00,396922.00
24-9-1993 12:00,439675.00
25-10-1993 12:00,550376.00
25-11-1993 12:00,409079.00
26-12-1993 12:00,465189.00
26-1-1994 12:00,339859.00
26-2-1994 12:00,429363.00
29-3-1994 12:00,333793.00
29-4-1994 12:00,400223.00
30-5-1994 12:00,510218.00
30-6-1994 12:00,426000.00
31-7-1994 12:00,589425.00
31-8-1994 12:00,303738.00
1-10-1994 12:00,485858.00
1-11-1994 12:00,388323.00
2-12-1994 12:00,386312.00
2-1-1995 12:00,485582.00
2-2-1995 12:00,405904.00
5-3-1995 12:00,494120.00
5-4-1995 12:00,392728.00
6-5-1995 12:00,486985.00
6-6-1995 12:00,382223.00
7-7-1995 12:00,456365.00
7-8-1995 12:00,592100.00
7-9-1995 12:00,418681.00
8-10-1995 12:00,520579.00
8-11-1995 12:00,416432.00
9-12-1995 12:00,389275.00
9-1-1996 12:00,469557.00
9-2-1996 12:00,375793.00
11-3-1996 12:00,489297.00
11-4-1996 12:00,422944.00
12-5-1996 12:00,545984.00
12-6-1996 12:00,442286.00
13-7-1996 12:00,495932.00
13-8-1996 12:00,425920.00
13-9-1996 12:00,390478.00
14-10-1996 12:00,470618.00
14-11-1996 12:00,352207.00
15-12-1996 12:00,451263.00
15-1-1997 12:00,389429.00
15-2-1997 12:00,442196.00
18-3-1997 12:00,284667.00
18-4-1997 12:00,460167.00
19-5-1997 12:00,504841.00
19-6-1997 12:00,419570.00
20-7-1997 12:00,422275.00
20-8-1997 12:00,484175.00
20-9-1997 12:00,503231.00
21-10-1997 12:00,336115.00
21-11-1997 12:00,336204.00
22-12-1997 12:00,450863.00
22-1-1998 12:00,357319.00
22-2-1998 12:00,449850.00
25-3-1998 12:00,375083.00
25-4-1998 12:00,476180.00
26-5-1998 12:00,398202.00
26-6-1998 12:00,375734.00
27-7-1998 12:00,430369.00
27-8-1998 12:00,396383.00
27-9-1998 12:00,479194.00
28-10-1998 12:00,349224.00
28-11-1998 12:00,454399.00
29-12-1998 12:00,358123.00
29-1-1999 12:00,349296.00
1-3-1999 12:00,436266.00
1-4-1999 12:00,368931.00
