Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2023/11/05 19:10:29
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
HBpb001-1,001,HBpb001-1,169904.96,433163.6,714,,778,475,383,283,2021/09/23,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
HBpb001-1,001,2021/09/28 05:56:00,483,
HBpb001-1,001,2021/09/28 06:56:00,483,
HBpb001-1,001,2021/09/28 07:56:00,483,
HBpb001-1,001,2021/09/28 08:56:00,483,
HBpb001-1,001,2021/09/28 09:56:00,483,
HBpb001-1,001,2021/09/28 10:56:00,483,
HBpb001-1,001,2021/09/28 11:56:00,482,
HBpb001-1,001,2021/09/28 12:56:00,483,
HBpb001-1,001,2021/09/28 13:56:00,483,
HBpb001-1,001,2021/09/28 14:56:00,482,
HBpb001-1,001,2021/09/28 15:56:00,482,
HBpb001-1,001,2021/09/28 16:56:00,482,
HBpb001-1,001,2021/09/28 17:56:00,482,
HBpb001-1,001,2021/09/28 18:56:00,482,
HBpb001-1,001,2021/09/28 19:56:00,482,
HBpb001-1,001,2021/09/28 20:56:00,481,
HBpb001-1,001,2021/09/28 21:56:00,482,
HBpb001-1,001,2021/09/28 22:56:00,482,
HBpb001-1,001,2021/09/28 23:56:00,482,
HBpb001-1,001,2021/09/29 00:56:00,482,
HBpb001-1,001,2021/09/29 01:56:00,482,
HBpb001-1,001,2021/09/29 02:56:00,482,
HBpb001-1,001,2021/09/29 03:56:00,483,
HBpb001-1,001,2021/09/29 04:56:00,482,
HBpb001-1,001,2021/09/29 05:56:00,483,
HBpb001-1,001,2021/09/29 06:56:00,482,
HBpb001-1,001,2021/09/29 07:56:00,482,
HBpb001-1,001,2021/09/29 08:56:00,482,
HBpb001-1,001,2021/09/29 09:56:00,482,
HBpb001-1,001,2021/09/29 10:56:00,481,
HBpb001-1,001,2021/09/29 12:56:00,481,
HBpb001-1,001,2021/09/29 13:56:00,481,
HBpb001-1,001,2021/09/29 14:56:00,481,
HBpb001-1,001,2021/09/29 15:56:00,481,
HBpb001-1,001,2021/09/29 16:56:00,481,
HBpb001-1,001,2021/09/29 17:56:00,481,
HBpb001-1,001,2021/09/29 18:56:00,481,
HBpb001-1,001,2021/09/29 19:56:00,481,
HBpb001-1,001,2021/09/29 20:56:00,481,
HBpb001-1,001,2021/09/29 21:56:00,481,
HBpb001-1,001,2021/09/29 22:56:00,481,
HBpb001-1,001,2021/09/29 23:56:00,480,
HBpb001-1,001,2021/09/30 00:56:00,480,
HBpb001-1,001,2021/09/30 01:56:00,480,
HBpb001-1,001,2021/09/30 02:56:00,480,
HBpb001-1,001,2021/09/30 03:56:00,480,
HBpb001-1,001,2021/09/30 04:56:00,480,
HBpb001-1,001,2021/09/30 05:56:00,480,
HBpb001-1,001,2021/09/30 06:56:00,480,
HBpb001-1,001,2021/09/30 07:56:00,480,
HBpb001-1,001,2021/09/30 08:56:00,480,
HBpb001-1,001,2021/09/30 09:56:00,480,
HBpb001-1,001,2021/09/30 10:56:00,480,
HBpb001-1,001,2021/09/30 11:56:00,480,
HBpb001-1,001,2021/09/30 12:56:00,480,
HBpb001-1,001,2021/09/30 13:56:00,480,
HBpb001-1,001,2021/09/30 14:56:00,480,
HBpb001-1,001,2021/09/30 15:56:00,480,
HBpb001-1,001,2021/09/30 16:56:00,480,
HBpb001-1,001,2021/09/30 17:56:00,480,
HBpb001-1,001,2021/09/30 18:56:00,480,
HBpb001-1,001,2021/09/30 19:56:00,480,
HBpb001-1,001,2021/09/30 20:56:00,480,
HBpb001-1,001,2021/09/30 21:56:00,479,
HBpb001-1,001,2021/09/30 22:56:00,479,
HBpb001-1,001,2021/09/30 23:56:00,480,
HBpb001-1,001,2021/10/01 00:56:00,480,
HBpb001-1,001,2021/10/01 01:56:00,480,
HBpb001-1,001,2021/10/01 02:56:00,480,
HBpb001-1,001,2021/10/01 03:56:00,479,
HBpb001-1,001,2021/10/01 04:56:00,480,
HBpb001-1,001,2021/10/01 05:56:00,480,
HBpb001-1,001,2021/10/01 06:56:00,480,
HBpb001-1,001,2021/10/01 07:56:00,480,
HBpb001-1,001,2021/10/01 08:56:00,479,
HBpb001-1,001,2021/10/01 09:56:00,479,
HBpb001-1,001,2021/10/01 10:56:00,479,
HBpb001-1,001,2021/10/01 11:56:00,479,
HBpb001-1,001,2021/10/01 12:56:00,479,
HBpb001-1,001,2021/10/01 13:56:00,479,
HBpb001-1,001,2021/10/01 14:56:00,479,
HBpb001-1,001,2021/10/01 15:56:00,479,
HBpb001-1,001,2021/10/01 16:56:00,478,
HBpb001-1,001,2021/10/01 17:56:00,479,
HBpb001-1,001,2021/10/01 18:56:00,479,
HBpb001-1,001,2021/10/01 19:56:00,478,
HBpb001-1,001,2021/10/01 20:56:00,478,
HBpb001-1,001,2021/10/01 21:56:00,478,
HBpb001-1,001,2021/10/01 22:56:00,478,
HBpb001-1,001,2021/10/01 23:56:00,478,
